ID, Name, Description, Mean, SD, By Row Mean, By Row SD, First Row Mean, First Row SD, Code
16881c54-610b-4544-86f5-3ada9b82454b, _103_raw_100k, [postgres. 10], 325, 17, 2, 1, 75, 3, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department"" AS ""Department"" WHERE (""Department"".""deletedAt"" IS NULL)"
a18b2cf5-36fb-419f-a3be-5f982f529db3, _103_raw_100k, [mssql. 10], 515, 29, 5, 2, 12, 13, "SELECT [id], [name], [zohoId], [parentId], [createdAt], [updatedAt], [deletedAt] FROM [Department] AS [Department] WHERE ([Department].[deletedAt] IS NULL)"
e9d32cea-288c-45cc-9dea-6a4db320d132, _103_raw_100k, [mysql. 10], 199, 12, 2, 1, 2, 1, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` WHERE (`Department`.`deletedAt` IS NULL)"
9b7e8753-50dd-4345-9a01-003e1f168bf8, _103_raw_100k, [oracle. 10], 650, 27, 6, 1, 12, 6, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department""  ""Department"" WHERE (""Department"".""deletedAt"" IS NULL)"
cadf1425-159a-4d5c-95ee-3b708ab47104, _103_raw_100k, [mariadb. 10], 205, 8, 2, 1, 2, 2, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` WHERE (`Department`.`deletedAt` IS NULL)"
d0b78519-1726-422c-9a62-d9c4e0fa3a58, _103_raw_1m, [postgres. 10], 3266, 118, 3, 2, 700, 26, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department"" AS ""Department"" WHERE (""Department"".""deletedAt"" IS NULL)"
3a0c861f-6307-4540-a13e-40c3d69d06c1, _103_raw_1m, [mssql. 10], 5788, 250, 6, 7, 45, 92, "SELECT [id], [name], [zohoId], [parentId], [createdAt], [updatedAt], [deletedAt] FROM [Department] AS [Department] WHERE ([Department].[deletedAt] IS NULL)"
1209d6f5-839a-466f-ad6a-b2b592877f74, _103_raw_1m, [mysql. 10], 2491, 34, 2, 2, 3, 3, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` WHERE (`Department`.`deletedAt` IS NULL)"
51ccbbc0-767b-4099-9087-e5fcd9c802f9, _103_raw_1m, [oracle. 10], 26688, 659, 26, 25, 518, 1382, "SELECT ""id"", ""name"", ""zohoId"", ""parentId"", ""createdAt"", ""updatedAt"", ""deletedAt"" FROM ""Department""  ""Department"" WHERE (""Department"".""deletedAt"" IS NULL)"
e39e2a11-ca1d-44c5-bb22-f945cfe5a7e3, _103_raw_1m, [mariadb. 10], 3746, 576, 4, 2, 1, 0, "SELECT `id`, `name`, `zohoId`, `parentId`, `createdAt`, `updatedAt`, `deletedAt` FROM `Department` AS `Department` WHERE (`Department`.`deletedAt` IS NULL)"
